agent_0_x,agent_0_y,agent_0_archive,agent_0_cluster,agent_1_x,agent_1_y,agent_1_archive,agent_1_cluster,agent_2_x,agent_2_y,agent_2_archive,agent_2_cluster,agent_3_x,agent_3_y,agent_3_archive,agent_3_cluster,agent_4_x,agent_4_y,agent_4_archive,agent_4_cluster,agent_5_x,agent_5_y,agent_5_archive,agent_5_cluster,agent_6_x,agent_6_y,agent_6_archive,agent_6_cluster,agent_7_x,agent_7_y,agent_7_archive,agent_7_cluster,agent_8_x,agent_8_y,agent_8_archive,agent_8_cluster,agent_9_x,agent_9_y,agent_9_archive,agent_9_cluster,agent_10_x,agent_10_y,agent_10_archive,agent_10_cluster,agent_11_x,agent_11_y,agent_11_archive,agent_11_cluster,agent_12_x,agent_12_y,agent_12_archive,agent_12_cluster,agent_13_x,agent_13_y,agent_13_archive,agent_13_cluster,agent_14_x,agent_14_y,agent_14_archive,agent_14_cluster,agent_15_x,agent_15_y,agent_15_archive,agent_15_cluster,agent_16_x,agent_16_y,agent_16_archive,agent_16_cluster,agent_17_x,agent_17_y,agent_17_archive,agent_17_cluster,agent_18_x,agent_18_y,agent_18_archive,agent_18_cluster,agent_19_x,agent_19_y,agent_19_archive,agent_19_cluster,agent_20_x,agent_20_y,agent_20_archive,agent_20_cluster,agent_21_x,agent_21_y,agent_21_archive,agent_21_cluster,agent_22_x,agent_22_y,agent_22_archive,agent_22_cluster,agent_23_x,agent_23_y,agent_23_archive,agent_23_cluster,agent_24_x,agent_24_y,agent_24_archive,agent_24_cluster,agent_25_x,agent_25_y,agent_25_archive,agent_25_cluster,agent_26_x,agent_26_y,agent_26_archive,agent_26_cluster,agent_27_x,agent_27_y,agent_27_archive,agent_27_cluster,agent_28_x,agent_28_y,agent_28_archive,agent_28_cluster,agent_29_x,agent_29_y,agent_29_archive,agent_29_cluster
2.194249781,28.43557575,mage,7,6.868494923,15.13811014,mage,4,4.700823221,19.85278773,mage,1,5.960549342,28.86030613,mage,-1,1.893504049,9.285577861,mage,-1,7.213482639,19.43145034,mage,-1,6.569866557,9.112776801,mage,-1,4.235511016,27.92216179,mage,4,2.798626946,32.13852384,mage,7,7.809069831,10.13688719,mage,-1,1.050772006,23.18727274,hunter,-1,8.333008542,19.4036503,hunter,-1,2.584914616,19.96447639,mage,1,1.266728933,14.97110381,hunter,-1,4.193813254,21.49198496,hunter,6,2.856140693,14.75267588,hunter,4,2.593965149,20.38054427,hunter,-1,3.283038599,9.916631406,hunter,-1,7.090969151,22.9492805,hunter,0,6.1057207,13.85767676,hunter,0,8.541625618,29.73681161,warrior,-1,2.244293845,17.43728417,warrior,-1,6.23726987,26.92429503,warrior,3,8.264430149,19.4563124,warrior,-1,7.323835494,25.95850471,warrior,10,3.243577328,21.93055686,warrior,9,7.679551458,29.82368908,warrior,3,5.037424074,23.68715628,warrior,8,1.700536255,13.76301193,warrior,-1,7.326563704,19.046801,warrior,10
1.866237746,28.86039369,mage,7,6.784962113,15.25655206,mage,6,4.454272771,19.46145826,mage,1,5.960549342,28.86030613,mage,-1,1.893504049,9.285577861,mage,-1,7.213482639,19.43145034,mage,-1,6.142551659,11.31368171,mage,4,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,7.809069831,10.13688719,mage,-1,1.050772006,23.18727274,hunter,-1,8.333008542,19.4036503,hunter,-1,2.584914616,19.96447639,mage,1,1.266728933,14.97110381,hunter,-1,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,2.593965149,20.38054427,hunter,-1,3.283038599,9.916631406,hunter,-1,7.090969151,22.9492805,hunter,0,5.880139503,13.63068154,hunter,0,8.541625618,29.73681161,warrior,-1,2.61362831,18.65234153,warrior,9,5.974429904,27.26029161,warrior,10,8.264430149,19.4563124,warrior,-1,7.309647033,26.06475026,warrior,10,3.156322635,22.02164125,mage,-1,7.552528086,29.8236388,warrior,10,5.037424074,23.68715628,warrior,8,2.282429268,13.62594985,warrior,5,7.190549736,19.25467724,warrior,10
1.866237746,28.86039369,mage,7,6.784962113,15.25655206,mage,6,4.333955069,18.8818577,mage,1,5.960549342,28.86030613,mage,-1,1.893504049,9.285577861,mage,-1,6.643729092,19.88376237,mage,4,5.649729994,11.71757281,mage,4,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,7.809069831,10.13688719,mage,-1,1.050772006,23.18727274,hunter,-1,8.333008542,19.4036503,hunter,-1,2.584914616,19.96447639,mage,1,1.266728933,14.97110381,hunter,-1,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,2.086823363,22.45032725,mage,1,3.283038599,9.916631406,hunter,-1,7.090969151,22.9492805,hunter,0,5.687293088,13.42097831,hunter,-1,7.699163678,30.34122855,warrior,3,2.994761056,19.72050681,warrior,9,6.315765791,25.36991917,warrior,10,8.264430149,19.4563124,warrior,-1,7.357721338,26.23188847,warrior,10,3.156322635,22.02164125,mage,-1,7.310610012,29.68883746,warrior,10,5.155477417,24.04608935,warrior,8,2.282429268,13.62594985,warrior,5,7.072399532,19.64155986,warrior,10
1.866237746,28.86039369,mage,7,6.784962113,15.25655206,mage,6,4.333955069,18.8818577,mage,1,5.960549342,28.86030613,mage,-1,1.893504049,9.285577861,mage,-1,6.643729092,19.88376237,mage,4,4.920761917,12.26744311,mage,4,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,7.809069831,10.13688719,mage,-1,1.694748575,24.72685985,hunter,6,8.333008542,19.4036503,hunter,-1,2.584914616,19.96447639,mage,1,1.266728933,14.97110381,hunter,-1,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,3.283038599,9.916631406,hunter,-1,7.090969151,22.9492805,hunter,0,5.466317954,13.39152396,hunter,-1,7.699163678,30.34122855,warrior,3,2.407450051,18.99603587,warrior,9,6.315765791,25.36991917,warrior,10,5.064753511,22.08649214,warrior,10,7.357721338,26.23188847,warrior,10,3.156322635,22.02164125,mage,-1,7.314666873,30.20584025,warrior,10,5.155477417,24.04608935,warrior,8,2.101562501,15.82190608,warrior,6,7.072399532,19.64155986,warrior,10
1.649513112,25.86979208,mage,1,6.784962113,15.25655206,mage,6,4.333955069,18.8818577,mage,1,5.818959205,21.58479487,mage,4,4.795084076,13.40976202,mage,4,6.461279799,21.0787311,mage,4,4.920761917,12.26744311,mage,4,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,6.964525677,15.48770661,mage,4,1.694748575,24.72685985,hunter,6,8.333008542,19.4036503,hunter,-1,2.584914616,19.96447639,mage,1,2.977344926,14.87514034,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,3.283038599,9.916631406,hunter,-1,7.090969151,22.9492805,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.319544843,19.47521648,warrior,9,6.315765791,25.36991917,warrior,10,4.786201503,21.02807842,warrior,9,7.357721338,26.23188847,warrior,10,3.156322635,22.02164125,mage,-1,7.314666873,30.20584025,warrior,10,5.155477417,24.04608935,warrior,8,2.101562501,15.82190608,warrior,6,6.698886618,20.34999376,warrior,4
2.117007093,24.33148573,hunter,6,6.784962113,15.25655206,mage,6,4.474890697,18.88754613,warrior,11,4.424477628,20.29002298,mage,-1,4.795084076,13.40976202,mage,4,6.204301963,22.20294014,mage,4,5.356536502,13.88894983,mage,-1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,6.964525677,15.48770661,mage,4,1.694748575,24.72685985,mage,7,3.701608386,17.60546668,hunter,5,2.584914616,19.96447639,mage,1,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,5.576986281,14.24535909,hunter,4,7.144055102,23.03094716,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.811244727,20.22184689,warrior,-1,6.315765791,25.36991917,warrior,10,4.04764939,17.93652835,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,5.120394435,25.46208026,warrior,8,2.5998952,16.67840165,warrior,5,6.685731085,19.9573296,warrior,10
2.117007093,24.33148573,hunter,6,6.784962113,15.25655206,mage,6,4.474890697,18.88754613,warrior,11,1.982032413,20.89036134,mage,1,4.795084076,13.40976202,mage,4,6.204301963,22.20294014,mage,4,5.356536502,13.88894983,mage,-1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,5.105357497,15.65876864,mage,1,1.694748575,24.72685985,mage,7,3.701608386,17.60546668,hunter,5,2.584914616,19.96447639,mage,1,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,4.662039169,15.68679379,hunter,4,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.811244727,20.22184689,warrior,-1,6.315765791,25.36991917,warrior,10,3.038459661,21.5253237,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,4.854413486,24.61018295,warrior,0,2.324858828,24.20054645,warrior,9,6.685731085,19.9573296,warrior,10
2.117007093,24.33148573,hunter,6,6.784962113,15.25655206,mage,6,4.474890697,18.88754613,warrior,11,1.982032413,20.89036134,mage,1,4.271231022,19.5212005,mage,1,6.204301963,22.20294014,mage,4,4.721925883,14.48353129,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,4.244592475,29.683787,mage,4,1.694748575,24.72685985,mage,7,6.360278044,22.62163775,hunter,0,2.584914616,19.96447639,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,4.662039169,15.68679379,hunter,4,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.811244727,20.22184689,warrior,-1,6.520532928,22.90264745,warrior,10,3.038459661,21.5253237,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.324858828,24.20054645,warrior,9,6.685731085,19.9573296,warrior,10
2.117007093,24.33148573,hunter,6,6.784962113,15.25655206,mage,6,3.13523646,17.76512637,warrior,9,1.982032413,20.89036134,mage,1,4.271231022,19.5212005,mage,1,6.204301963,22.20294014,mage,4,4.721925883,14.48353129,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,6.360278044,22.62163775,hunter,0,3.097291382,23.17926371,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.990340532,22.03388306,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.811244727,20.22184689,warrior,-1,6.520532928,22.90264745,warrior,10,3.97541389,21.82088118,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,warrior,9,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.604088459,16.87980181,mage,4,2.493403458,20.87465729,warrior,9,1.982032413,20.89036134,mage,1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.721925883,14.48353129,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,6.360278044,22.62163775,hunter,0,3.097291382,23.17926371,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.811244727,20.22184689,hunter,6,6.520532928,22.90264745,warrior,10,3.97541389,21.82088118,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,warrior,9,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.480057427,17.28669205,mage,6,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.721925883,14.48353129,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,6.360278044,22.62163775,hunter,0,2.206188518,23.51952799,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,6.684691644,27.76310995,warrior,10,2.811244727,20.22184689,hunter,6,6.520532928,22.90264745,warrior,10,2.41708971,25.47264754,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.233653076,17.574295,mage,4,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.721925883,14.48353129,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,3.397092861,17.33311982,hunter,5,2.206188518,23.51952799,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,3.86164927,28.06498201,warrior,0,2.811244727,20.22184689,hunter,6,6.520532928,22.90264745,warrior,10,2.41708971,25.47264754,warrior,9,7.357721338,26.23188847,warrior,10,2.293922259,21.87347438,hunter,6,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.233653076,17.574295,mage,4,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.386802246,15.22638195,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,3.397092861,17.33311982,hunter,5,2.206188518,23.51952799,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,3.02063966,28.66941899,warrior,8,2.811244727,20.22184689,hunter,6,6.520532928,22.90264745,warrior,10,2.29210322,26.43291891,warrior,9,7.357721338,26.23188847,warrior,10,2.801924888,14.33384004,hunter,4,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.632910332,17.87188913,mage,6,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.386802246,15.22638195,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,3.397092861,17.33311982,hunter,5,2.206188518,23.51952799,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,2.029594337,27.28602236,warrior,8,2.811244727,20.22184689,hunter,6,6.385751205,22.91931249,warrior,10,2.29210322,26.43291891,warrior,9,7.357721338,26.23188847,warrior,10,2.801924888,14.33384004,hunter,4,7.118383562,29.51205627,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.632910332,17.87188913,mage,6,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.277178712,15.26355633,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,3.397092861,17.33311982,hunter,5,2.206188518,23.51952799,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,3.32554804,24.92500857,warrior,9,2.811244727,20.22184689,hunter,6,6.385751205,22.91931249,warrior,10,2.626406833,23.43406764,warrior,9,7.357721338,26.23188847,warrior,10,2.801924888,14.33384004,hunter,4,7.566645287,29.12545136,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.110577732,18.15471317,mage,4,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.277178712,15.26355633,mage,1,4.103105376,27.14275944,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,3.397092861,17.33311982,hunter,5,2.482961906,19.31776891,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,3.32554804,24.92500857,warrior,9,2.811244727,20.22184689,hunter,6,6.385751205,22.91931249,warrior,10,2.626406833,23.43406764,warrior,9,7.357721338,26.23188847,warrior,10,2.801924888,14.33384004,hunter,4,7.566645287,29.12545136,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
2.117007093,24.33148573,hunter,6,6.088454366,19.52619106,mage,4,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.277178712,15.26355633,mage,1,3.91970779,24.42762808,mage,4,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,2.535308655,17.83168005,hunter,5,2.482961906,19.31776891,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,hunter,6,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,2.41456781,22.74555677,warrior,9,2.811244727,20.22184689,mage,1,6.385751205,22.91931249,warrior,10,2.626406833,23.43406764,warrior,9,7.357721338,26.23188847,warrior,10,2.801924888,14.33384004,hunter,4,7.566645287,29.12545136,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
1.509795592,26.13777563,hunter,6,6.088454366,19.52619106,mage,4,2.493403458,20.87465729,warrior,9,3.450196642,23.40680467,mage,-1,2.893360248,16.4111577,mage,1,6.204301963,22.20294014,mage,4,4.277178712,15.26355633,mage,1,3.681800578,25.40204785,mage,1,2.798626946,32.13852384,mage,7,1.875419921,24.1922793,mage,1,1.694748575,24.72685985,mage,7,2.535308655,17.83168005,hunter,5,2.482961906,19.31776891,warrior,9,3.287565846,15.19665447,hunter,4,4.287491128,21.53495151,hunter,6,2.856140693,14.75267588,mage,3,1.812261118,24.39673915,mage,1,1.65916176,26.52696732,mage,7,7.12987266,23.18176149,hunter,0,5.466317954,13.39152396,hunter,-1,2.870023638,21.70230938,warrior,9,2.811244727,20.22184689,mage,1,6.385751205,22.91931249,warrior,10,2.204977692,25.60511072,warrior,9,7.357721338,26.23188847,warrior,10,2.801924888,14.33384004,hunter,4,7.566645287,29.12545136,warrior,10,4.411680489,25.14716131,warrior,10,2.871613599,21.81903414,mage,1,6.420504471,21.04987785,warrior,10
